2025-05-22_110949,2025-05-22_110949_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_111016,2025-05-22_111016_Conditional_plot_with_bounds.png,None,2,19
2025-05-22_111036,2025-05-22_111036_Conditional_plot_with_ridge_zoomed_in.png,None,2,19
2025-05-22_124858,2025-05-22_124858_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_124914,2025-05-22_124914_Conditional_plot_with_bounds.png,None,2,19
2025-05-22_124936,2025-05-22_124936_Conditional_plot_with_ridge_zoomed_in.png,None,2,19
2025-05-22_153930,2025-05-22_153930_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_153943,2025-05-22_153943_Conditional_plot_with_bounds.png,None,2,19
2025-05-22_162826,2025-05-22_162826_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_163221,2025-05-22_163221_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_180150,2025-05-22_180150_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_180633,2025-05-22_180633_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_181121,2025-05-22_181121_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_181832,2025-05-22_181832_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-22_182327,2025-05-22_182327_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-23_040432,2025-05-23_040432_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-23_055752,2025-05-23_055752_Conditional_plot_no_bounds_zoomed_in.png,None,2,14
2025-05-23_055856,2025-05-23_055856_Conditional_plot_with_ridge_zoomed_in.png,None,2,19
